Filename,Timestamp,Words_Out_of_Order,Longest_Consecutive_Count,Count_of_Audible_Words
09-30-2021 01-36-31.wav,2023-10-03 23:07:25.472725,False,0,0
09-30-2021 01-28-31.wav,2023-10-03 23:07:34.856208,False,0,0
09-30-2021 03-30-07.wav,2023-10-03 23:07:38.427257,False,10,10
09-30-2021 01-24-31.wav,2023-10-03 23:07:41.366915,False,0,0
09-30-2021 03-22-07.wav,2023-10-03 23:07:49.710511,False,8,8
09-30-2021 01-12-31.wav,2023-10-03 23:07:52.644049,False,0,0
09-30-2021 00-46-07.wav,2023-10-03 23:07:56.083812,False,10,10
09-30-2021 02-40-31.wav,2023-10-03 23:08:05.396237,True,0,1
09-30-2021 00-58-07.wav,2023-10-03 23:08:12.527537,False,10,10
09-30-2021 03-14-07.wav,2023-10-03 23:08:16.184228,False,10,10
09-30-2021 03-18-07.wav,2023-10-03 23:08:19.745865,False,10,10
09-30-2021 01-00-31.wav,2023-10-03 23:08:22.793650,False,4,4
09-30-2021 00-54-07.wav,2023-10-03 23:08:43.775632,True,0,1
09-30-2021 02-52-31.wav,2023-10-03 23:08:47.207435,False,10,10
09-30-2021 03-06-07.wav,2023-10-03 23:08:50.611114,False,10,10
09-30-2021 00-02-55.wav,2023-10-03 23:08:54.109925,False,10,10
09-30-2021 02-35-43.wav,2023-10-03 23:09:07.819745,True,0,1
09-30-2021 03-29-19.wav,2023-10-03 23:09:11.257498,False,10,10
09-30-2021 00-10-55.wav,2023-10-03 23:09:20.256715,True,0,1
09-30-2021 02-27-43.wav,2023-10-03 23:09:23.644362,False,10,10
09-30-2021 03-25-19.wav,2023-10-03 23:09:30.237882,True,0,1
09-30-2021 02-39-43.wav,2023-10-03 23:09:33.625164,False,10,10
09-30-2021 00-26-55.wav,2023-10-03 23:09:36.515199,False,0,0
09-30-2021 00-41-19.wav,2023-10-03 23:09:39.903068,False,10,10
09-30-2021 02-11-43.wav,2023-10-03 23:09:46.304772,True,4,5
09-30-2021 00-38-55.wav,2023-10-03 23:09:49.764834,False,10,10
09-30-2021 01-43-43.wav,2023-10-03 23:09:53.152461,False,10,10
09-30-2021 03-13-19.wav,2023-10-03 23:09:56.528475,False,10,10
09-30-2021 00-34-55.wav,2023-10-03 23:10:03.331134,False,10,10
09-30-2021 02-03-43.wav,2023-10-03 23:10:12.350088,True,0,1
09-30-2021 00-53-19.wav,2023-10-03 23:10:15.260318,False,0,0
09-30-2021 03-01-19.wav,2023-10-03 23:10:18.169956,False,0,0
09-30-2021 01-51-43.wav,2023-10-03 23:10:46.663331,False,0,0
09-29-2021 23-52-31.wav,2023-10-03 23:10:50.056421,False,10,10
09-30-2021 01-42-07.wav,2023-10-03 23:10:53.441572,False,10,10
09-30-2021 00-16-31.wav,2023-10-03 23:10:56.818877,False,10,10
09-30-2021 02-10-07.wav,2023-10-03 23:11:31.607016,True,0,1
09-30-2021 00-08-31.wav,2023-10-03 23:11:35.016406,False,10,10
09-30-2021 01-50-07.wav,2023-10-03 23:11:37.905588,False,0,0
09-30-2021 00-04-31.wav,2023-10-03 23:11:41.282954,False,10,10
09-30-2021 02-02-07.wav,2023-10-03 23:11:54.694892,True,0,1
09-30-2021 00-32-31.wav,2023-10-03 23:11:58.110191,False,10,10
09-30-2021 02-34-07.wav,2023-10-03 23:12:01.515089,False,10,10
09-29-2021 23-54-55.wav,2023-10-03 23:12:04.924671,False,10,10
09-30-2021 00-20-31.wav,2023-10-03 23:12:12.907518,False,10,10
09-30-2021 02-38-07.wav,2023-10-03 23:12:24.087341,True,0,1
09-29-2021 23-58-55.wav,2023-10-03 23:12:27.529511,False,10,10
09-30-2021 02-26-07.wav,2023-10-03 23:12:30.719495,False,5,5
09-30-2021 01-45-19.wav,2023-10-03 23:12:38.387824,False,10,10
09-30-2021 03-15-43.wav,2023-10-03 23:12:41.863737,False,10,10
09-30-2021 00-59-43.wav,2023-10-03 23:12:45.164257,False,8,8
09-30-2021 02-09-19.wav,2023-10-03 23:12:48.065193,False,0,0
09-30-2021 01-22-55.wav,2023-10-03 23:12:55.387682,False,0,0
09-30-2021 00-47-43.wav,2023-10-03 23:12:58.835735,False,10,10
09-30-2021 02-17-19.wav,2023-10-03 23:13:02.154980,False,9,9
09-30-2021 03-07-43.wav,2023-10-03 23:13:05.747701,False,10,10
09-30-2021 01-57-19.wav,2023-10-03 23:13:13.610528,False,10,10
09-30-2021 01-30-55.wav,2023-10-03 23:13:22.684692,False,0,0
09-30-2021 02-05-19.wav,2023-10-03 23:13:25.592418,False,0,0
09-30-2021 00-55-43.wav,2023-10-03 23:13:28.491163,False,0,0
09-30-2021 03-19-43.wav,2023-10-03 23:13:35.672289,False,10,10
09-30-2021 01-49-19.wav,2023-10-03 23:13:44.690951,False,0,0
09-30-2021 03-31-43.wav,2023-10-03 23:13:47.847174,True,0,1
09-30-2021 01-06-55.wav,2023-10-03 23:13:50.725469,False,0,0
09-30-2021 02-33-19.wav,2023-10-03 23:13:57.351998,False,10,10
09-30-2021 01-18-55.wav,2023-10-03 23:14:08.349778,False,0,0
09-30-2021 02-54-55.wav,2023-10-03 23:14:11.604413,True,0,1
09-30-2021 03-23-43.wav,2023-10-03 23:14:26.713657,True,0,1
09-30-2021 02-58-55.wav,2023-10-03 23:14:40.088011,True,0,1
09-30-2021 01-14-55.wav,2023-10-03 23:14:43.533223,False,10,10
09-30-2021 02-21-19.wav,2023-10-03 23:14:46.929924,False,10,10
09-30-2021 02-46-55.wav,2023-10-03 23:14:50.321289,False,10,10
09-30-2021 00-24-31.wav,2023-10-03 23:14:57.964142,False,10,10
09-30-2021 02-22-07.wav,2023-10-03 23:15:01.253703,True,0,1
09-30-2021 00-36-31.wav,2023-10-03 23:15:05.038594,False,10,10
09-29-2021 23-50-55.wav,2023-10-03 23:15:08.441924,False,10,10
09-30-2021 00-28-31.wav,2023-10-03 23:15:15.900311,False,0,0
09-30-2021 02-30-07.wav,2023-10-03 23:15:19.342900,False,10,10
09-30-2021 01-54-07.wav,2023-10-03 23:15:22.243816,False,0,0
09-30-2021 02-18-07.wav,2023-10-03 23:15:25.705641,False,10,10
09-30-2021 00-00-31.wav,2023-10-03 23:15:33.244202,False,10,10
09-30-2021 02-06-07.wav,2023-10-03 23:15:36.169310,False,0,0
09-30-2021 01-46-07.wav,2023-10-03 23:15:39.557044,False,10,10
09-30-2021 00-12-31.wav,2023-10-03 23:15:42.958475,False,10,10
09-30-2021 02-14-07.wav,2023-10-03 23:15:50.602547,False,10,10
09-30-2021 01-58-07.wav,2023-10-03 23:15:53.995039,False,10,10
09-30-2021 01-10-55.wav,2023-10-03 23:16:17.154613,False,0,0
09-30-2021 03-27-43.wav,2023-10-03 23:16:20.567919,True,0,1
